Designator,Footprint,Quantity,Value,LCSC Part #
BarometerSensor1,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
C102,C_Axial_L5.1mm_D3.1mm_P15.00mm_Horizontal,1,100nF,
C104,CP_Axial_L10.0mm_D4.5mm_P15.00mm_Horizontal,1,4.7uF,
HB1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_02x01,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,10k,
ReedSwitch1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
SW101,SW_PUSH_6mm,1,UP,
SW102,SW_PUSH_6mm,1,DOWN,
SW103,SW_PUSH_6mm,1,LEFT,
SW104,SW_PUSH_6mm,1,RIGHT,
SW105,SW_PUSH_6mm,1,MODE,
TP1,TestPoint_Pad_D1.0mm,1,3V0 Test,
TP2,TestPoint_Pad_D1.0mm,1,HB_ANALOG,
U101,ti_EKTM4C123GXL,1,EK-TM4C123GXL,
U103,adafruit_st7735r,1,Adafruit ST7735R,
